'date_reported';'dr_no';'date_occ';'time_occ';'area';'area_name';'rd';'crime_no';'crime_desc';'status';'status_desc';'image_no'
'2014-August-26';141516380;'2014-August-29';1500;15;'N Hollywood';1581;888;'TRESPASSING';'IC';'Invest Cont';677
'2014-August-26';142114715;'2014-August-26';1230;21;'Topanga';2105;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';510
'2014-August-25';140318379;'2014-August-25';2210;3;'Southwest';379;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';41
'2014-August-25';140413827;'2014-September-06';2330;4;'Hollenbeck';407;510;'VEHICLE - STOLEN';'IC';'Invest Cont';497
'2014-August-25';141014194;'2014-August-28';800;10;'West Valley';1008;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-August-25';141115892;'2014-August-25';1000;11;'Northeast';1163;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';952
'2014-August-24';140216397;'2014-August-24';1900;2;'Rampart';204;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-August-22';142114677;'2014-August-26';900;21;'Topanga';2144;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';834
'2014-August-18';140318574;'2014-August-26';1745;3;'Southwest';321;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';911
'2014-August-18';149923270;'2014-August-22';1340;14;'Pacific';1494;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';734
'2014-August-17';140713578;'2014-September-07';800;7;'Wilshire';749;310;'BURGLARY';'IC';'Invest Cont';0
'2014-August-05';142114939;'2014-September-01';1630;21;'Topanga';2175;930;'THREATS, VERBAL/TERRORIST';'IC';'Invest Cont';0
'2014-August-02';140813088;'2014-August-03';1800;8;'West LA';813;331;'THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)';'IC';'Invest Cont';592
'2014-July-26';141316997;'2014-August-14';1100;13;'Newton';1323;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';18
'2014-July-21';141422452;'2014-July-21';830;14;'Pacific';1494;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';919
'2014-July-01';142115032;'2014-September-04';1725;21;'Topanga';2189;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';870
'2014-June-01';141219432;'2014-August-30';600;12;'77th Street';1258;928;'THREATENING PHONE CALLS/LETTERS';'IC';'Invest Cont';156
'2014-June-01';142015939;'2014-September-08';1500;20;'Olympic';2023;510;'VEHICLE - STOLEN';'IC';'Invest Cont';463
'2014-May-15';141918556;'2014-September-08';1;19;'Mission';1967;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-May-07';142114976;'2014-September-02';800;21;'Topanga';2134;956;'LETTERS, LEWD';'IC';'Invest Cont';24
'2014-May-01';140915333;'2014-August-28';1200;9;'Van Nuys';985;354;'THEFT OF IDENTITY';'IC';'Invest Cont';28
'2014-April-18';149917070;'2014-June-12';655;14;'Pacific';1494;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-February-03';140205724;'2012-December-31';1900;2;'Rampart';202;354;'THEFT OF IDENTITY';'IC';'Invest Cont';650
'2014-March-24';140208169;'2012-December-31';1200;2;'Rampart';204;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-April-09';140407895;'2012-December-31';1200;4;'Hollenbeck';415;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-January-03';140604179;'2012-December-31';1500;6;'Hollywood';657;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';708
'2014-May-13';140808889;'2012-December-31';800;8;'West LA';805;354;'THEFT OF IDENTITY';'IC';'Invest Cont';230
'2014-March-03';140907069;'2012-December-31';1;9;'Van Nuys';926;354;'THEFT OF IDENTITY';'IC';'Invest Cont';868
'2014-November-07';141017170;'2012-December-31';1500;10;'West Valley';1031;354;'THEFT OF IDENTITY';'IC';'Invest Cont';822
'2014-September-22';141116996;'2012-December-31';800;11;'Northeast';1118;354;'THEFT OF IDENTITY';'IC';'Invest Cont';650
'2014-March-11';141208252;'2012-December-31';1;12;'77th Street';1211;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';253
'2014-May-07';141211836;'2012-December-31';1200;12;'77th Street';1255;354;'THEFT OF IDENTITY';'IC';'Invest Cont';529
'2014-November-20';141225147;'2012-December-31';1200;12;'77th Street';1241;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-November-23';141616038;'2012-December-31';900;16;'Foothill';1642;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-September-22';141715425;'2012-December-31';1200;17;'Devonshire';1745;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-November-18';141717997;'2012-December-31';1200;17;'Devonshire';1714;354;'THEFT OF IDENTITY';'IC';'Invest Cont';593
'2014-February-12';142005903;'2012-December-31';1200;20;'Olympic';2013;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';663
'2014-February-22';142006413;'2012-December-31';1;20;'Olympic';2026;354;'THEFT OF IDENTITY';'IC';'Invest Cont';89
'2014-March-26';142007904;'2012-December-31';100;20;'Olympic';2023;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-November-07';142118032;'2012-December-31';1500;21;'Topanga';2138;354;'THEFT OF IDENTITY';'IC';'Invest Cont';922
'2014-April-30';140900756;'2012-December-29';1300;9;'Van Nuys';915;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'AO';'Adult Other';477
'2014-October-18';142117099;'2012-December-29';1200;21;'Topanga';2107;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-March-27';141410268;'2012-December-28';1740;14;'Pacific';1452;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-January-29';142005269;'2012-December-27';1400;20;'Olympic';2039;812;'CHILD, CRIME AGAINST';'IC';'Invest Cont';0
'2014-September-15';141220809;'2012-December-26';400;12;'77th Street';1239;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';553
'2014-November-06';141520056;'2012-December-26';1200;15;'N Hollywood';1599;956;'LETTERS, LEWD';'AO';'Adult Other';0
'2014-April-16';140310231;'2012-December-25';1300;3;'Southwest';338;354;'THEFT OF IDENTITY';'IC';'Invest Cont';900
'2014-September-15';141220808;'2012-December-25';2100;12;'77th Street';1239;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';68
'2014-November-20';141718113;'2012-December-25';1200;17;'Devonshire';1728;354;'THEFT OF IDENTITY';'IC';'Invest Cont';531
'2014-January-09';142104376;'2012-December-25';1800;21;'Topanga';2157;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'IC';'Invest Cont';984
'2014-December-24';140418284;'2012-December-24';630;4;'Hollenbeck';438;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-September-24';140515175;'2012-December-24';1400;5;'Harbor';564;354;'THEFT OF IDENTITY';'IC';'Invest Cont';952
'2014-July-10';140913070;'2012-December-24';900;9;'Van Nuys';929;354;'THEFT OF IDENTITY';'IC';'Invest Cont';764
'2014-August-15';141421009;'2012-December-24';2030;14;'Pacific';1457;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';0
'2014-June-20';140212807;'2012-December-23';1;2;'Rampart';212;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-September-10';140713731;'2012-December-22';1500;7;'Wilshire';789;812;'CHILD, CRIME AGAINST';'IC';'Invest Cont';37
'2014-December-22';140920879;'2012-December-22';1105;9;'Van Nuys';923;761;'BRANDISH WEAPON';'IC';'Invest Cont';0
'2014-December-26';141822205;'2012-December-22';1200;18;'Southeast';1823;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-January-03';140804082;'2012-December-21';1845;8;'West LA';839;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';515
'2014-July-22';141012599;'2012-December-21';1200;10;'West Valley';1044;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-January-24';141705005;'2012-December-21';815;17;'Devonshire';1757;343;'SHOPLIFTING-GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-January-24';141905245;'2012-December-21';755;19;'Mission';1975;343;'SHOPLIFTING-GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';0
'2014-November-22';140221218;'2012-December-20';1200;2;'Rampart';249;354;'THEFT OF IDENTITY';'IC';'Invest Cont';522
'2014-December-21';140418167;'2012-December-20';1800;4;'Hollenbeck';414;510;'VEHICLE - STOLEN';'IC';'Invest Cont';0
'2014-December-22';141227147;'2012-December-20';830;12;'77th Street';1268;930;'CRIMINAL THREATS - NO WEAPON DISPLAYED';'IC';'Invest Cont';0
'2014-January-08';141904405;'2012-December-20';1200;19;'Mission';1979;354;'THEFT OF IDENTITY';'AO';'Adult Other';761
'2014-February-22';141200571;'2012-December-19';1500;12;'77th Street';1239;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';750
'2014-December-09';140222027;'2012-December-18';1200;2;'Rampart';251;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';0
'2014-September-24';140320334;'2012-December-18';5;3;'Southwest';301;354;'THEFT OF IDENTITY';'IC';'Invest Cont';60
'2014-November-28';141718419;'2012-December-18';1200;17;'Devonshire';1783;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';395
'2014-May-05';141810196;'2012-December-18';1200;18;'Southeast';1846;946;'OTHER MISCELLANEOUS CRIME';'AA';'Adult Arrest';84
'2014-November-25';140324399;'2012-December-17';800;3;'Southwest';376;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';68
'2014-December-11';140920249;'2012-December-17';1200;9;'Van Nuys';923;354;'THEFT OF IDENTITY';'IC';'Invest Cont';656
'2014-February-05';140205780;'2012-December-15';800;2;'Rampart';237;810;'SEX, UNLAWFUL';'AO';'Adult Other';656
'2014-April-30';141910904;'2012-December-15';1200;19;'Mission';1983;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';776
'2014-December-14';141430523;'2012-December-14';400;14;'Pacific';1414;997;'TRAFFIC DR #';'IC';'Invest Cont';275
'2014-January-25';141505318;'2012-December-14';1345;15;'N Hollywood';1544;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-December-15';141521975;'2012-December-14';2000;15;'N Hollywood';1521;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-May-20';141110657;'2012-December-13';1200;11;'Northeast';1109;626;'SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT';'AO';'Adult Other';466
'2014-February-06';141705626;'2012-December-12';1900;17;'Devonshire';1735;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';592
'2014-February-13';141806143;'2012-December-12';1500;18;'Southeast';1849;810;'SEX, UNLAWFUL';'AA';'Adult Arrest';716
'2014-April-30';142109269;'2012-December-12';1500;21;'Topanga';2148;310;'BURGLARY';'IC';'Invest Cont';0
'2014-October-22';140322233;'2012-December-11';1700;3;'Southwest';393;310;'BURGLARY';'IC';'Invest Cont';379
'2014-December-20';141924109;'2012-December-11';1200;19;'Mission';1905;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';370
'2014-December-10';140920217;'2012-December-10';1200;9;'Van Nuys';919;626;'SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT';'AO';'Adult Other';714
'2014-December-11';141018568;'2012-December-10';900;10;'West Valley';1011;354;'THEFT OF IDENTITY';'IC';'Invest Cont';498
'2014-December-12';141923696;'2012-December-09';1400;19;'Mission';1988;354;'THEFT OF IDENTITY';'IC';'Invest Cont';741
'2014-December-08';141226164;'2012-December-08';700;12;'77th Street';1258;230;'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT';'IC';'Invest Cont';175
'2014-February-26';141506861;'2012-December-08';2330;15;'N Hollywood';1526;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';508
'2014-December-14';141616672;'2012-December-08';2000;16;'Foothill';1605;330;'BURGLARY FROM VEHICLE';'IC';'Invest Cont';0
'2014-February-05';140505421;'2012-December-07';1200;5;'Harbor';523;510;'VEHICLE - STOLEN';'IC';'Invest Cont';685
'2014-March-04';141006548;'2012-December-07';1200;10;'West Valley';1089;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';565
'2014-May-22';141212798;'2012-December-07';1200;12;'77th Street';1251;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-February-04';141505859;'2012-December-07';1;15;'N Hollywood';1583;740;'VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)';'AO';'Adult Other';229
'2014-August-05';141916649;'2012-December-07';1300;19;'Mission';1956;354;'THEFT OF IDENTITY';'IC';'Invest Cont';488
'2014-January-02';140804057;'2012-December-06';1000;8;'West LA';842;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';810
'2014-June-25';141215219;'2012-December-06';1800;12;'77th Street';1265;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';291
'2014-April-08';141411192;'2012-December-06';1;14;'Pacific';1454;670;'EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)';'IC';'Invest Cont';751
'2014-December-09';140417758;'2012-December-05';1200;4;'Hollenbeck';427;354;'THEFT OF IDENTITY';'IC';'Invest Cont';936
'2014-October-24';140918094;'2012-December-05';1200;9;'Van Nuys';943;354;'THEFT OF IDENTITY';'IC';'Invest Cont';184
'2014-December-05';141521558;'2012-December-05';700;15;'N Hollywood';1506;354;'THEFT OF IDENTITY';'IC';'Invest Cont';960
'2014-December-07';141616431;'2012-December-05';2045;16;'Foothill';1612;745;'VANDALISM - MISDEAMEANOR ($399 OR UNDER)';'IC';'Invest Cont';0
'2014-June-03';140911278;'2012-December-04';800;9;'Van Nuys';989;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-December-04';140919863;'2012-December-04';1015;9;'Van Nuys';931;997;'TRAFFIC DR #';'IC';'Invest Cont';410
'2014-December-04';141718650;'2012-December-04';615;17;'Devonshire';1797;997;'TRAFFIC DR #';'IC';'Invest Cont';0
'2014-December-24';140817601;'2012-December-03';1500;8;'West LA';887;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';60
'2014-June-12';141812247;'2012-December-03';1330;18;'Southeast';1831;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-November-03';140621897;'2012-December-02';1600;6;'Hollywood';666;121;'RAPE, FORCIBLE';'AO';'Adult Other';17
'2014-January-02';140304110;'2012-December-01';1;3;'Southwest';393;310;'BURGLARY';'IC';'Invest Cont';752
'2014-August-04';140317003;'2012-December-01';1;3;'Southwest';393;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';524
'2014-June-11';140410232;'2012-December-01';1200;4;'Hollenbeck';415;354;'THEFT OF IDENTITY';'IC';'Invest Cont';232
'2014-December-19';140624421;'2012-December-01';1200;6;'Hollywood';645;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-May-19';140709223;'2012-December-01';1200;7;'Wilshire';776;354;'THEFT OF IDENTITY';'IC';'Invest Cont';148
'2014-May-06';140910028;'2012-December-01';1200;9;'Van Nuys';939;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';0
'2014-May-06';140910046;'2012-December-01';1200;9;'Van Nuys';939;237;'CHILD NEGLECT (SEE 300 W.I.C.)';'AO';'Adult Other';326
'2014-November-12';140918950;'2012-December-01';5;9;'Van Nuys';916;354;'THEFT OF IDENTITY';'IC';'Invest Cont';894
'2014-June-24';141011283;'2012-December-01';1;10;'West Valley';1034;354;'THEFT OF IDENTITY';'IC';'Invest Cont';709
'2014-January-22';141104916;'2012-December-01';1200;11;'Northeast';1152;813;'CHILD ANNOYING (17YRS & UNDER, DID NOT TOUCH VICTIM)';'AO';'Adult Other';195
'2014-January-22';141104917;'2012-December-01';1200;11;'Northeast';1152;813;'CHILD ANNOYING (17YRS & UNDER, DID NOT TOUCH VICTIM)';'AO';'Adult Other';303
'2014-January-28';141105173;'2012-December-01';800;11;'Northeast';1178;956;'LETTERS, LEWD';'AA';'Adult Arrest';916
'2014-January-28';141105197;'2012-December-01';1200;11;'Northeast';1152;354;'THEFT OF IDENTITY';'IC';'Invest Cont';281
'2014-April-17';141109062;'2012-December-01';1200;11;'Northeast';1144;354;'THEFT OF IDENTITY';'IC';'Invest Cont';566
'2014-April-06';141209969;'2012-December-01';1200;12;'77th Street';1231;354;'THEFT OF IDENTITY';'IC';'Invest Cont';842
'2014-January-21';141505164;'2012-December-01';1200;15;'N Hollywood';1521;354;'THEFT OF IDENTITY';'IC';'Invest Cont';358
'2014-February-03';141505875;'2012-December-01';700;15;'N Hollywood';1522;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';0
'2014-February-10';141605523;'2012-December-01';2000;16;'Foothill';1622;812;'CHILD, CRIME AGAINST';'AO';'Adult Other';722
'2014-April-28';141608128;'2012-December-01';1;16;'Foothill';1698;810;'SEX, UNLAWFUL';'AO';'Adult Other';2
'2014-May-21';141609052;'2012-December-01';1200;16;'Foothill';1638;354;'THEFT OF IDENTITY';'IC';'Invest Cont';299
'2014-July-04';141711957;'2012-December-01';1200;17;'Devonshire';1753;661;'UNAUTHORIZED COMPUTER ACCESS';'AO';'Adult Other';0
'2014-October-09';141716185;'2012-December-01';1200;17;'Devonshire';1793;354;'THEFT OF IDENTITY';'IC';'Invest Cont';759
'2014-March-26';141808165;'2012-December-01';1800;18;'Southeast';1837;810;'SEX, UNLAWFUL';'AA';'Adult Arrest';796
'2014-April-11';141909837;'2012-December-01';900;19;'Mission';1906;354;'THEFT OF IDENTITY';'IC';'Invest Cont';988
'2014-March-21';142007694;'2012-December-01';1200;20;'Olympic';2002;354;'THEFT OF IDENTITY';'IC';'Invest Cont';546
'2014-August-27';142015459;'2012-December-01';900;20;'Olympic';2027;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';526
'2014-January-15';142104663;'2012-December-01';1200;21;'Topanga';2172;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-March-28';142107834;'2012-December-01';1000;21;'Topanga';2111;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';629
'2014-April-14';142108595;'2012-December-01';1200;21;'Topanga';2147;354;'THEFT OF IDENTITY';'IC';'Invest Cont';439
'2014-October-29';142117576;'2012-December-01';800;21;'Topanga';2189;354;'THEFT OF IDENTITY';'IC';'Invest Cont';446
'2014-December-23';142120056;'2012-December-01';1200;21;'Topanga';2136;810;'SEX, UNLAWFUL';'AO';'Adult Other';0
'2014-February-11';141206524;'2012-November-29';800;12;'77th Street';1232;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'AO';'Adult Other';882
'2014-March-20';142007573;'2012-November-29';1200;20;'Olympic';2027;354;'THEFT OF IDENTITY';'IC';'Invest Cont';446
'2014-February-11';140306379;'2012-November-28';1800;3;'Southwest';331;510;'VEHICLE - STOLEN';'IC';'Invest Cont';909
'2014-March-15';141807636;'2012-November-28';1;18;'Southeast';1834;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';802
'2014-October-29';141717004;'2012-November-27';800;17;'Devonshire';1735;662;'BUNCO, GRAND THEFT';'AA';'Adult Arrest';481
'2014-June-24';140614662;'2012-November-26';1300;6;'Hollywood';663;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';600
'2014-March-25';141410082;'2012-November-26';1200;14;'Pacific';1487;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'AA';'Adult Arrest';588
'2014-December-10';140417789;'2012-November-24';1600;4;'Hollenbeck';489;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';510
'2014-March-04';141207782;'2012-November-23';1900;12;'77th Street';1232;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';868
'2014-March-11';141606454;'2012-November-23';1;16;'Foothill';1642;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';97
'2014-October-29';140124328;'2012-November-22';1100;1;'Central';155;946;'OTHER MISCELLANEOUS CRIME';'AA';'Adult Arrest';652
'2014-September-25';140515250;'2012-November-22';1400;5;'Harbor';564;354;'THEFT OF IDENTITY';'IC';'Invest Cont';973
'2014-April-18';140707997;'2012-November-21';900;7;'Wilshire';769;354;'THEFT OF IDENTITY';'IC';'Invest Cont';727
'2014-February-25';141006253;'2012-November-20';1200;10;'West Valley';1021;354;'THEFT OF IDENTITY';'IC';'Invest Cont';611
'2014-March-18';141007164;'2012-November-20';1630;10;'West Valley';1065;354;'THEFT OF IDENTITY';'IC';'Invest Cont';319
'2014-August-21';141612712;'2012-November-20';2345;16;'Foothill';1637;860;'BATTERY WITH SEXUAL CONTACT';'AA';'Adult Arrest';290
'2014-August-15';141917239;'2012-November-20';1900;19;'Mission';1918;930;'CRIMINAL THREATS - NO WEAPON DISPLAYED';'IC';'Invest Cont';0
'2014-December-07';141923418;'2012-November-20';700;19;'Mission';1967;354;'THEFT OF IDENTITY';'IC';'Invest Cont';557
'2014-March-04';140307514;'2012-November-19';1600;3;'Southwest';362;310;'BURGLARY';'IC';'Invest Cont';0
'2014-January-10';140804342;'2012-November-19';800;8;'West LA';829;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';402
'2014-February-03';140605878;'2012-November-17';800;6;'Hollywood';636;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-October-07';140122966;'2012-November-15';1200;1;'Central';159;354;'THEFT OF IDENTITY';'IC';'Invest Cont';549
'2014-February-06';140705335;'2012-November-15';1000;7;'Wilshire';778;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-January-21';140905082;'2012-November-15';1700;9;'Van Nuys';938;354;'THEFT OF IDENTITY';'IC';'Invest Cont';892
'2014-November-15';140919095;'2012-November-15';100;9;'Van Nuys';914;810;'SEX, UNLAWFUL';'AA';'Adult Arrest';477
'2014-January-24';141004948;'2012-November-15';1235;10;'West Valley';1097;354;'THEFT OF IDENTITY';'IC';'Invest Cont';354
'2014-November-17';141017541;'2012-November-15';1200;10;'West Valley';1083;354;'THEFT OF IDENTITY';'IC';'Invest Cont';183
'2014-July-15';141113427;'2012-November-15';1600;11;'Northeast';1125;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';676
'2014-March-21';141409860;'2012-November-15';1200;14;'Pacific';1466;354;'THEFT OF IDENTITY';'IC';'Invest Cont';225
'2014-January-22';141704911;'2012-November-15';1200;17;'Devonshire';1757;354;'THEFT OF IDENTITY';'IC';'Invest Cont';528
'2014-August-12';140513271;'2012-November-14';1200;5;'Harbor';518;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-May-14';141110468;'2012-November-13';1545;11;'Northeast';1117;815;'SEXUAL PENTRATION WITH A FOREIGN OBJECT';'JA';'Juv Arrest';324
'2014-December-05';140518210;'2012-November-12';830;5;'Harbor';513;354;'THEFT OF IDENTITY';'IC';'Invest Cont';442
'2014-November-13';140801471;'2012-November-11';1530;8;'West LA';848;310;'BURGLARY';'IC';'Invest Cont';326
'2014-November-13';141119621;'2012-November-11';1500;11;'Northeast';1177;442;'SHOPLIFTING - PETTY THEFT ($950 & UNDER)';'IC';'Invest Cont';104
'2014-May-09';141211981;'2012-November-11';1200;12;'77th Street';1235;354;'THEFT OF IDENTITY';'IC';'Invest Cont';835
'2014-September-15';141220585;'2012-November-10';1200;12;'77th Street';1215;354;'THEFT OF IDENTITY';'IC';'Invest Cont';961
'2014-April-18';141310031;'2012-November-10';900;13;'Newton';1347;651;'DOCUMENT WORTHLESS ($200.01 & OVER)';'IC';'Invest Cont';0
'2014-December-10';142020664;'2012-November-10';1200;20;'Olympic';2027;420;'THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER)';'IC';'Invest Cont';16
'2014-June-04';140510351;'2012-November-09';700;5;'Harbor';523;946;'OTHER MISCELLANEOUS CRIME';'AA';'Adult Arrest';687
'2014-March-15';140207736;'2012-November-07';1430;2;'Rampart';249;440;'THEFT PLAIN - PETTY ($950 & UNDER)';'IC';'Invest Cont';0
'2014-November-17';140716424;'2012-November-07';1000;7;'Wilshire';778;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';0
'2014-February-24';141506781;'2012-November-07';1;15;'N Hollywood';1538;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-December-16';140325633;'2012-November-06';1;3;'Southwest';338;354;'THEFT OF IDENTITY';'IC';'Invest Cont';938
'2014-November-07';140622107;'2012-November-06';1200;6;'Hollywood';644;510;'VEHICLE - STOLEN';'IC';'Invest Cont';11
'2014-February-24';142006454;'2012-November-06';1455;20;'Olympic';2021;649;'DOCUMENT FORGERY / STOLEN FELONY';'AO';'Adult Other';919
'2014-August-09';142014556;'2012-November-06';1300;20;'Olympic';2005;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';846
'2014-February-21';141207162;'2012-November-03';1640;12;'77th Street';1266;997;'TRAFFIC DR #';'IC';'Invest Cont';698
'2014-November-03';141717205;'2012-November-03';1;17;'Devonshire';1708;354;'THEFT OF IDENTITY';'IC';'Invest Cont';764
'2014-January-10';140204478;'2012-November-01';1;2;'Rampart';233;763;'STALKING';'IC';'Invest Cont';951
'2014-September-29';140320646;'2012-November-01';700;3;'Southwest';321;956;'LETTERS, LEWD';'IC';'Invest Cont';0
'2014-January-02';140404231;'2012-November-01';600;4;'Hollenbeck';463;121;'RAPE, FORCIBLE';'AO';'Adult Other';166
'2014-January-10';140404401;'2012-November-01';1700;4;'Hollenbeck';464;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-November-18';140517585;'2012-November-01';700;5;'Harbor';585;354;'THEFT OF IDENTITY';'IC';'Invest Cont';858
'2014-September-26';140714333;'2012-November-01';800;7;'Wilshire';745;354;'THEFT OF IDENTITY';'IC';'Invest Cont';69
'2014-January-08';140804262;'2012-November-01';1;8;'West LA';812;354;'THEFT OF IDENTITY';'IC';'Invest Cont';798
'2014-August-20';140812589;'2012-November-01';800;8;'West LA';841;354;'THEFT OF IDENTITY';'IC';'Invest Cont';57
'2014-January-11';140904556;'2012-November-01';1;9;'Van Nuys';969;956;'LETTERS, LEWD';'AO';'Adult Other';664
'2014-March-22';140908065;'2012-November-01';2359;9;'Van Nuys';904;354;'THEFT OF IDENTITY';'IC';'Invest Cont';198
'2014-May-21';140910688;'2012-November-01';1200;9;'Van Nuys';964;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';614
'2014-July-18';141012442;'2012-November-01';1;10;'West Valley';1039;354;'THEFT OF IDENTITY';'IC';'Invest Cont';979
'2014-April-09';141108726;'2012-November-01';800;11;'Northeast';1124;668;'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)';'IC';'Invest Cont';0
