'date_reported';'dr_no';'date_occ';'time_occ';'area';'area_name';'rd';'crime_no';'crime_desc';'status';'status_desc';'image_no'
'2014-August-04';140914199;'2012-March-01';2200;9;'Van Nuys';904;860;'BATTERY WITH SEXUAL CONTACT';'AO';'Adult Other';444
'2014-September-15';140916198;'2012-March-01';1;9;'Van Nuys';955;354;'THEFT OF IDENTITY';'IC';'Invest Cont';386
'2014-March-21';141107664;'2012-March-01';1200;11;'Northeast';1143;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-August-22';141115480;'2012-March-01';800;11;'Northeast';1133;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-April-17';141411841;'2012-March-01';1200;14;'Pacific';1433;354;'THEFT OF IDENTITY';'IC';'Invest Cont';0
'2014-September-04';141422565;'2012-March-01';1200;14;'Pacific';1452;649;'DOCUMENT FORGERY / STOLEN FELONY';'IC';'Invest Cont';372
'2014-September-18';141517416;'2012-March-01';1;15;'N Hollywood';1506;354;'THEFT OF IDENTITY';'IC';'Invest Cont';539
'2014-June-20';141610210;'2012-March-01';1300;16;'Foothill';1675;354;'THEFT OF IDENTITY';'IC';'Invest Cont';621
'2014-November-21';141615970;'2012-March-01';900;16;'Foothill';1685;354;'THEFT OF IDENTITY';'IC';'Invest Cont';855
'2014-September-07';141714746;'2012-March-01';2000;17;'Devonshire';1745;341;'THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD';'IC';'Invest Cont';0
'2014-March-31';141909179;'2012-March-01';1200;19;'Mission';1917;810;'SEX, UNLAWFUL';'AO';'Adult Other';321
'2014-May-28';142011510;'2012-March-01';1200;20;'Olympic';2011;624;'BATTERY - SIMPLE ASSAULT';'IC';'Invest Cont';61
'2014-January-08';142104342;'2012-March-01';1200;21;'Topanga';2105;354;'THEFT OF IDENTITY';'IC';'Invest Cont';659
'2014-July-29';142113420;'2012-March-01';1200;21;'Topanga';2126;354;'THEFT OF IDENTITY';'IC';'Invest Cont';817
'2014-November-13';142118317;'2012-March-01';800;21;'Topanga';2157;949;'ILLEGAL DUMPING';'IC';'Invest Cont';72
'2014-September-11';140319600;'2012-February-29';1200;3;'Southwest';333;354;'THEFT OF IDENTITY';'IC';'Invest Cont';946
'2014-March-04';141408731;'2012-February-28';1200;14;'Pacific';1416;354;'THEFT OF IDENTITY';'IC';'Invest Cont';610
'2014-February-20';141106328;'2012-February-20';1132;11;'Northeast';1177;949;'ILLEGAL DUMPING';'IC';'Invest Cont';0
'2014-October-09';141118003;'2012-February-19';1200;11;'Northeast';1124;946;'OTHER MISCELLANEOUS CRIME';'IC';'Invest Cont';2
'2014-April-07';141309341;'2012-February-17';1200;13;'Newton';1351;354;'THEFT OF IDENTITY';'IC';'Invest Cont';197
